"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03722V04470","Type of Buyer","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","Number","1240"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1490-13a3-e055-000000000001","Longford County Council","Number","360"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1491-13a3-e055-000000000001","Louth County Council","Number","1200"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","Number","1680"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","Number","400"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-148d-13a3-e055-000000000001","Laois County Council","Number","630"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1494-13a3-e055-000000000001","Meath County Council","Number","2180"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","Number","270"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","Number","1040"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","Number","490"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","Number","650"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","Number","2860"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","Number","690"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","Number","1150"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","Number","1230"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","Number","840"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","Number","1370"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","-","All buyer types","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","Number","1420"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","IE0","Ireland","Number","28130"
"CRP08C1","Volume of Sales","2018","2018","01","Filings","130","Buyer with Mortgage","2ae19629-1434-13a3-e055-000000000001","Cork City Council","Number","570"
