"STATISTIC","Statistic Label","TLIST(A1)","Year","C03341V04028","Stamp Duty Event","C03721V04469","Transaction Class","C03789V04537","Local Authority Area","UNIT","VALUE"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","€","76700"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","€","64500"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","€","66400"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","€","64000"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","€","62300"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","€","87700"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","€","75000"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","€","68000"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","€","72500"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","€","66700"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","€","85700"
"CRP02C4","Median Income","2019","2019","01","Filings","120","Joint transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","€","64100"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","IE0","Ireland","€","68100"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","€","67900"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","€","56700"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","€","51600"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","€","68400"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1492-13a3-e055-000000000001","Carlow County Council","€","55700"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1433-13a3-e055-000000000001","Dublin City Council","€","82400"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-149f-13a3-e055-000000000001","Dún Laoghaire Rathdown County Council","€","105300"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-14a4-13a3-e055-000000000001","Donegal County Council","€","45400"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-14a0-13a3-e055-000000000001","Fingal County Council","€","80000"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-14a5-13a3-e055-000000000001","Galway County Council","€","62400"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1435-13a3-e055-000000000001","Galway City Council","€","64800"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-14a7-13a3-e055-000000000001","Kildare County Council","€","73600"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-14a8-13a3-e055-000000000001","Kilkenny County Council","€","60300"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-14a6-13a3-e055-000000000001","Kerry County Council","€","55000"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1490-13a3-e055-000000000001","Longford County Council","€","48000"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1491-13a3-e055-000000000001","Louth County Council","€","55700"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-148f-13a3-e055-000000000001","Limerick City & County Council","€","60400"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-148e-13a3-e055-000000000001","Leitrim County Council","€","44800"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-148d-13a3-e055-000000000001","Laois County Council","€","57500"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1494-13a3-e055-000000000001","Meath County Council","€","70100"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1495-13a3-e055-000000000001","Monaghan County Council","€","53300"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1493-13a3-e055-000000000001","Mayo County Council","€","51500"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1496-13a3-e055-000000000001","Offaly County Council","€","53800"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1497-13a3-e055-000000000001","Roscommon County Council","€","45400"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-14a1-13a3-e055-000000000001","South Dublin County Council","€","80500"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1498-13a3-e055-000000000001","Sligo County Council","€","56500"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-1499-13a3-e055-000000000001","Tipperary County Council","€","54000"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-149a-13a3-e055-000000000001","Waterford City & County Council","€","58200"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-149b-13a3-e055-000000000001","Westmeath County Council","€","55300"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-149e-13a3-e055-000000000001","Wicklow County Council","€","74100"
"CRP02C4","Median Income","2019","2019","02","Executions","-","All Transactions","2ae19629-149c-13a3-e055-000000000001","Wexford County Council","€","50300"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","IE0","Ireland","€","42800"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-1434-13a3-e055-000000000001","Cork City Council","€","46700"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-14a2-13a3-e055-000000000001","Clare County Council","€","35600"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-149d-13a3-e055-000000000001","Cavan County Council","€","32300"
"CRP02C4","Median Income","2019","2019","02","Executions","110","Sole transactions","2ae19629-14a3-13a3-e055-000000000001","Cork County Council","€","44600"
