STATISTIC,Statistic Label,TLIST,Year,C03341V04028,Stamp Duty Event,C03721V04469,Transaction Class,C03788V04538,NUTS 3 Region,C03722V04470,Type of Buyer,UNIT,VALUE
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,-,All buyer types,Number,1270.0
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,604546A1-A856-4B9B-AD46-E88B27C27155,South West,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,-,All buyer types,Number,3270.0
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,F97E459B-57ED-49C0-8A28-2BC1C7F08E88,Dublin,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,-,All buyer types,Number,1350.0
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,110,Buyer with child/children,Number,
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,8E4862CC-7E43-4BF5-A4EF-B2D5ECBA61EF,Mid East,120,Buyer without child/children,Number,
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,-,All buyer types,Number,540.0
CRP01C1,Volume of Sales,2010,2010,2,Executions,110,Sole transactions,B26C8BAA-F3C5-49A9-B74E-D7FED1823E65,Midlands,110,Buyer with child/children,Number,
